month_end,trade_date,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional
2019-11-29,2019-12-02,value,D10,SMLS3,L,BUY,0.020833333333333332,26.61671455,587,15624.011440850001
2019-11-29,2019-12-02,value,D10,TEND3,L,BUY,0.020833333333333332,22.59481115,692,15635.6093158
2019-11-29,2019-12-02,value,D10,VLID3,L,BUY,0.020833333333333332,10.03479041,1557,15624.168668369999
2019-11-29,2019-12-02,value,D10,VULC3,L,BUY,0.020833333333333332,5.54507088,2818,15626.00973984
2019-11-29,2019-12-02,value,LS,ALOS3,S,SELL,-0.005019006281550134,37.66984741,-100,-3766.984741
2019-11-29,2019-12-02,value,LS,ALPA4,S,SELL,-0.005019006281550134,31.27366316,-120,-3752.8395792
2019-11-29,2019-12-02,value,LS,AMAR3,L,BUY,0.015057018844650407,46.63008778,242,11284.481242759999
2019-11-29,2019-12-02,value,LS,AMER3,S,SELL,-0.017447021835864756,5506.841,-2,-11013.682
2019-11-29,2019-12-02,value,LS,B3SA3,S,SELL,-0.017447021835864756,12.69924515,-1030,-13080.2225045
2019-11-29,2019-12-02,value,LS,BEEF3,L,BUY,0.015057018844650407,10.4828232,1077,11290.0005864
2019-11-29,2019-12-02,value,LS,BRAP4,L,BUY,0.015057018844650407,7.157676037,1578,11294.812786385999
2019-11-29,2019-12-02,value,LS,BRML3,L,BUY,0.01003801256310027,15.53176022,485,7532.9037067
2019-11-29,2019-12-02,value,LS,CIEL3,L,BUY,0.015057018844650407,6.193988862,1823,11291.641695426
2019-11-29,2019-12-02,value,LS,ELET3,L,BUY,0.015057018844650407,27.74725169,407,11293.13143783
2019-11-29,2019-12-02,value,LS,EMBR3,S,SELL,-0.017447021835864756,18.10134821,-723,-13087.274755830002
2019-11-29,2019-12-02,value,LS,ENAT3,L,BUY,0.015057018844650407,11.04279282,1023,11296.77705486
2019-11-29,2019-12-02,value,LS,EVEN3,S,SELL,-0.017447021835864756,9.057981063,-1445,-13088.782636034999
2019-11-29,2019-12-02,value,LS,EZTC3,S,SELL,-0.017447021835864756,36.25932243,-361,-13089.61539723
2019-11-29,2019-12-02,value,LS,FESA4,L,BUY,0.015057018844650407,3.537181069,3193,11294.219153316999
2019-11-29,2019-12-02,value,LS,GNDI3,S,SELL,-0.017447021835864756,54.95144506,-238,-13078.44392428
2019-11-29,2019-12-02,value,LS,GOLL54,L,BUY,0.01003801256310027,0.442107849,17029,7528.654560621
2019-11-29,2019-12-02,value,LS,GUAR3,L,BUY,0.015057018844650407,17.70846053,638,11297.99781814
2019-11-29,2019-12-02,value,LS,HAPV3,S,SELL,-0.017447021835864756,165.6362998,-79,-13085.267684199998
2019-11-29,2019-12-02,value,LS,MDIA3,S,SELL,-0.017447021835864756,28.69534416,-456,-13085.07693696
