month_end,trade_date,sleeve,cohort_id,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,GOLL54,S,SELL,-0.00665758843742479,0.158638699,-31475,-4993.1530510249995,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,HYPE3,S,SELL,-0.0034933751028398,8.577343141,-305,-2616.089658005,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,LAND3,S,SELL,-0.0034933751028398,26.8296691,-98,-2629.3075718,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,LREN3,S,SELL,-0.00665758843742479,6.247767163,-799,-4991.965963236999,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,LUPA3,S,CLOSE,0.0416608805304961,870.8466061,36,31350.4778196,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,LUPA3,S,CLOSE,0.0590664479690317,870.8466061,51,44413.1769111,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,MGLU3,L,BUY,0.00479072821107155,3.36597862,1067,3591.49918754,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,MILK33,S,SELL,-0.0034933751028398,3.0,-873,-2619.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,MILK33,L,BUY,0.00479072821107155,3.0,1198,3594.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,MMXM3,S,SELL,-0.00665758843742479,1346.324223,-4,-5385.296892,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,MPLU3,L,BUY,0.0072591998249535,23.79962398,229,5450.11389142,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,ODPV3,L,CLOSE,-0.0386851033497464,5.214360976,-5564,-29012.704470464,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,ODPV3,S,SELL,-0.00665758843742479,5.214360976,-958,-4995.357815008,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,OSXB3,S,SELL,-0.0034933751028398,1622.0,-2,-3244.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,POMO4,L,BUY,0.0072591998249535,2.356776827,2310,5444.15447037,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,PRIO3,S,SELL,-0.0034933751028398,12.75950587,-205,-2615.69870335,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,RAPT4,L,BUY,0.00479072821107155,6.304788719,570,3593.72956983,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,RPMG3,L,BUY,0.0072591998249535,25.77232552,211,5437.960684719999,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,RPMG3,S,SELL,-0.00665758843742479,25.77232552,-194,-4999.83115088,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,1,LS,RSID3,S,SELL,-0.00665758843742479,229.5903415,-22,-5050.987513,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,SBSP3,L,BUY,0.0072591998249535,16.86476639,323,5447.31954397,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,TCSA3,L,CLOSE,-0.0386851033497464,73.49865244,-395,-29031.9677138,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,TNLP3,S,SELL,-0.0034933751028398,26.0,-101,-2626.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,TOTS3,S,SELL,-0.0034933751028398,9.076832513,-289,-2623.204596257,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,VALE3,L,BUY,0.0072591998249535,17.83409414,305,5439.3987127,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,1,LS,VSTE3,L,BUY,0.0072591998249535,625.0627841,9,5625.565056900001,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,AEDU3,S,OPEN,-0.045154255633336,7.272743485,-4657,-33869.166409645004,add
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,ALOS3,L,OPEN,0.06572403640645652,21.23308953,2322,49303.233888660005,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,AMER3,S,BUY,0.0040813304481594,704.2821237,4,2817.1284948,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,AMER3,L,BUY,0.0007509436405216674,704.2821237,1,704.2821237,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,APER3,L,OPEN,0.0416808513538486,283.8674213,110,31225.416343,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,BPAN4,L,OPEN,0.0416808513538486,5.487337765,5697,31261.363247205,add
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,BRAP4,L,BUY,0.0007509436405216674,4.674975647,120,560.99707764,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,BRPR3,L,CLOSE,-0.06497309276593485,109.3658923,-446,-48777.187965799996,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,BRSR6,L,CLOSE,-0.0451326205747042,7.492200421,-4518,-33849.761502078,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,CIEL3,L,BUY,0.0007509436405216674,7.125697673,79,562.930116167,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,CNFB4,L,OPEN,0.0416808513538486,5.81,5380,31257.8,add
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,CPFE3,S,BUY,0.005223968760065298,12.47748984,314,3917.9318097600003,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,CPLE6,L,BUY,0.0007509436405216674,1.715944255,328,562.82971564,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,CRUZ3,L,SELL,-0.0034517692208555,24.0997287,-107,-2578.6709709,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,CSAN3,L,BUY,0.0007509436405216674,5.273745822,107,564.290802954,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,CSMG3,L,SELL,-0.0034517692208555,5.889962128,-440,-2591.58333632,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,CSMG3,L,BUY,0.0007509436405216674,5.889962128,96,565.4363642879999,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,CTIP3,L,CLOSE,-0.0451326205747042,24.96539077,-1356,-33853.06988412,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,ELET3,S,BUY,0.0040813304481594,10.628901,288,3061.123488,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,ELET3,S,CLOSE,0.06497309276593485,10.628901,4585,48733.511085000006,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,EMBR3,S,OPEN,-0.059749124005869556,13.52006905,-3314,-44805.5088317,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,ENEV3,L,SELL,-0.0034517692208555,175.6648475,-15,-2634.9727125,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,EQTL3,L,BUY,0.0007509436405216674,2.147852535,262,562.7373641700001,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,EZTC3,L,SELL,-0.0034517692208555,9.147349257,-283,-2588.699839731,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,GFSA3,S,BUY,0.0040813304481594,3536.726005,1,3536.726005,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,GOLL54,S,BUY,0.0040813304481594,0.158638699,19295,3060.933697205,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,GOLL54,S,BUY,0.005223968760065298,0.158638699,24697,3917.899949203,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,HYPE3,S,BUY,0.0040813304481594,8.577343141,357,3062.111501337,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,LAME3,L,OPEN,0.0416808513538486,3.163239723,9882,31259.134942686,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,LAND3,S,BUY,0.0040813304481594,26.8296691,114,3058.5822774,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,LREN3,S,OPEN,-0.059749124005869556,6.247767163,-7172,-44808.986093036,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,LUPA3,S,CLOSE,0.0492355860814954,870.8466061,42,36575.5574562,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,LUPA3,S,CLOSE,0.06497309276593485,870.8466061,56,48767.4099416,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,MILK33,S,BUY,0.0040813304481594,3.0,1020,3060.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,MILK33,L,BUY,0.0007509436405216674,3.0,188,564.0,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,MMXM3,S,BUY,0.005223968760065298,1346.324223,3,4038.972669,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,MYPK3,L,OPEN,0.0416808513538486,23.01070074,1359,31271.54230566,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,ODPV3,L,CLOSE,-0.0451326205747042,5.214360976,-6492,-33851.631456192,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,ODPV3,S,BUY,0.005223968760065298,5.214360976,751,3915.985092976,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,OSXB3,S,BUY,0.0040813304481594,1622.0,2,3244.0,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,POMO4,L,CLOSE,-0.0451326205747042,2.356776827,-14363,-33850.385566201,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,POMO4,S,CLOSE,0.06497309276593485,2.356776827,20676,48728.717675052,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,PRIO3,S,OPEN,-0.045154255633336,12.75950587,-2654,-33863.72857898,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,PSSA3,S,BUY,0.0040813304481594,4.887262306,626,3059.426203556,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,QUAL3,S,OPEN,-0.059749124005869556,8.593192222,-5215,-44813.49743773,add
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,RAPT4,L,BUY,0.0007509436405216674,6.304788719,89,561.126195991,keep
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,RPMG3,L,SELL,-0.0034517692208555,25.77232552,-100,-2577.232552,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,RPMG3,S,BUY,0.005223968760065298,25.77232552,152,3917.39347904,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,RSID3,S,BUY,0.005223968760065298,229.5903415,17,3903.0358054999997,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,TCSA3,L,CLOSE,-0.0451326205747042,73.49865244,-461,-33882.87877484,exit
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,TIMS3,L,SELL,-0.0034517692208555,6.909140387,-375,-2590.927645125,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,TOTS3,S,BUY,0.0040813304481594,9.076832513,337,3058.892556881,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,TOTS3,S,BUY,0.005223968760065298,9.076832513,432,3921.1916456159997,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,value,2,LS,USIM5,S,OPEN,-0.059749124005869556,9.247047116,-4846,-44811.190324136,add
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,VALE3,L,SELL,-0.0034517692208555,17.83409414,-145,-2585.9436503,reweight
2012-03-30 00:00:00,2012-04-02 00:00:00,momentum,2,LS,VSTE3,L,OPEN,0.0416808513538486,625.0627841,50,31253.139205000003,add
