month_end,trade_date,cohort_id,sleeve,book,ticker,side,action,w_delta,px_ref_open,shares,est_notional,rationale
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,TFCO4,S,BUY,0.00045897925469653295,18.25,19,346.75,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,TIMS3,L,SELL,-0.004162336166260487,24.33,-128,-3114.24,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,TOTS3,S,BUY,0.00045897925469653295,44.49,8,355.92,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,TTEN3,L,SELL,-0.0043422916092764,16.01,-203,-3250.03,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,TUPY3,S,BUY,0.0064809931913076,12.49,389,4858.61,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,UNIP6,L,OPEN,0.0256778080212453,70.99,271,19238.29,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,USIM5,S,OPEN,-0.022009549732496,5.72,-2886,-16507.92,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,USIM5,L,OPEN,0.024689046077093046,5.72,3237,18515.64,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,VAMO3,S,BUY,0.0064809931913076,3.25,1496,4862.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,VULC3,L,SELL,-0.0043422916092764,23.27,-140,-3257.8,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,0,momentum,LS,WIZC3,L,OPEN,0.0256778080212453,8.3,2320,19256.0,add
2025-10-31 00:00:00,2025-11-03 00:00:00,0,value,LS,WIZC3,L,SELL,-0.004162336166260487,8.3,-376,-3120.8,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,value,LS,ALPA4,S,SELL,-0.005799445936705422,10.6,-410,-4346.0,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,value,LS,AMBP3,S,CLOSE,0.03205709138150391,0.36,66786,24042.96,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,AMER3,L,OPEN,0.01468907654105,5.51,1999,11014.49,add
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,ARML3,S,SELL,-0.0014029468962227,3.75,-281,-1053.75,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,AURA33,L,BUY,0.0026192508840995,58.06,34,1974.04,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,AURE3,S,SELL,-0.0014029468962227,11.03,-95,-1047.85,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,value,LS,AURE3,S,SELL,-0.005799445936705422,11.03,-394,-4345.82,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,AZUL4,S,SELL,-0.0014029468962227,1.2,-877,-1052.4,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,AZZA3,S,SELL,-0.0014029468962227,28.92,-36,-1041.12,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,BBAS3,S,SELL,-0.0014029468962227,21.99,-48,-1055.52,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,BHIA3,S,CLOSE,0.021707080322898,3.6,4522,16279.2,exit
2025-10-31 00:00:00,2025-11-03 00:00:00,1,value,LS,BLAU3,L,SELL,-0.0004589792546965295,13.38,-26,-347.88,keep
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,BPAN4,S,SELL,-0.0014029468962227,10.35,-102,-1055.7,reweight
2025-10-31 00:00:00,2025-11-03 00:00:00,1,momentum,LS,BRKM5,S,SELL,-0.0014029468962227,6.82,-154,-1050.28,reweight
